Gender,Race,Residence,Income,School Type,Hooks,Major,SAT,EC-AWARDS,ESSAY-LOR-INTERVIEW,Decision
F,ASIAN,OR,Middle,PUBLIC,NONE,CS,1580,7.5,4.7,0
F,ASIAN,CA,Low,-1,NONE,CS,1570,8.5,4.5,0
M,ASIAN,-1,Middle,PUBLIC,NONE,CS,1330,2.5,5.7,0
F,BLACK,-1,Low,-1,URM,BUSINESS,1430,6.5,4.5,0
M,ASIAN,-1,High,PRIVATE,NONE,-1,1460,6.5,8.5,0
M,ASIAN,-1,Low,PUBLIC,NONE,CS,1560,5.5,4.5,0
M,ASIAN,-1,Low,PUBLIC,NONE,CS,1520,8.5,4.5,0
M,WHITE,MI,Low,PUBLIC,URM,CS,1450,2.5,4.2,0
F,WHITE,NE,High,SMALL,URM,POLISCI,1500,5.5,4.5,0
M,ASIAN,CA,Low,PUBLIC,LGBT,ENG,1550,5.5,3.7,0
M,ASIAN,NY,Low,PUBLIC,NONE,BIO,1570,8.5,2.5,0
M,ASIAN,PA,Low,PUBLIC,NONE,-1,1570,5.5,4.5,0
M,WHITE,-1,High,PUBLIC,NONE,CS,1550,4.5,6.5,0
F,ASIAN,-1,Low,-1,NONE,-1,1580,6.5,7.5,0
F,ASIAN,NY,High,PUBLIC,NONE,ENG,1540,3.5,2.5,0
F,HISPANIC,NY,Low,PUBLIC,FIRST-GEN,BUSINESS,1450,4.5,2.5,0
M,ASIAN,IN,Low,PRIVATE,NONE,CS,1540,2.5,2.5,0
F,ASIAN,IA,High,-1,NONE,PSYCH,1520,3.0,4.5,0
F,HISPANIC,-1,Low,PUBLIC,URM,-1,1300,5.0,6.8,0
M,WHITE,AL,Low,PRIVATE,LEGACY,BUSINESS,1480,5.5,7.5,0
F,ASIAN,IN,Low,PUBLIC,NONE,ENG,1540,6.5,6.5,0
M,ASIAN,OR,Low,PUBLIC,NONE,BIO,1590,8.5,8.5,0
NB,ASIAN,CO,Low,PUBLIC,FIRST-GEN,CS,1320,5.5,8.5,0
F,ASIAN,NE,High,PUBLIC,LEGACY,ENVIRONMENTAL STUDIES,1470,5.0,8.1,0
M,ASIAN,-1,High,PRIVATE,LEGACY,CS,1560,6.5,7.1,0
M,ASIAN,CO,High,PUBLIC,LEGACY,BUSINESS,1230,4.5,3.5,0
M,ASIAN,-1,High,PUBLIC,LEGACY,ENG,1540,7.5,4.5,0
F,ASIAN,WA,High,-1,NONE,ENG,1530,6.5,6.5,0
M,WHITE,-1,High,PUBLIC,LEGACY,CS,1560,7.5,6.8,0
M,WHITE,CA,High,PUBLIC,NONE,CS,1440,1.0,4.5,0
F,ASIAN,-1,Low,PUBLIC,FIRST-GEN,-1,1510,6.5,4.5,0
M,ASIAN,OR,High,PUBLIC,NONE,CS,1550,6.5,1.5,0
F,-1,CO,High,PUBLIC,URM,CHEMISTRY,1500,6.5,3.7,0
M,ASIAN,-1,Low,-1,NONE,CS,1570,8.5,2.5,0
F,ASIAN,-1,High,-1,NONE,BUSINESS,1300,5.0,3.5,0
M,WHITE,-1,High,PUBLIC,NONE,CS,1540,7.5,8.2,0
M,ASIAN,MI,Low,-1,NONE,CS,1470,7.5,3.0,0
M,ASIAN,CA,High,-1,NONE,CS,1530,7.5,7.2,0
F,ASIAN,IN,Low,PRIVATE,NONE,CS,1470,6.5,6.8,0
M,ASIAN,-1,High,PUBLIC,FIRST-GEN,CS,1440,2.0,6.5,0
M,ASIAN,FL,High,PUBLIC,NONE,CS,1500,6.5,4.2,0
M,BLACK,CO,High,MAGNET,URM,CS,1490,6.5,6.5,0
F,HISPANIC,OR,High,PUBLIC,URM,HEALTH SCIENCES,1420,6.5,8.5,0
M,ASIAN,CA,High,PUBLIC,NONE,CS,1540,8.5,7.5,0
T,ASIAN,OR,Low,PRIVATE,NONE,CS,1580,3.5,6.5,0
F,ASIAN,IN,Low,PUBLIC,NONE,CS,1530,5.5,7.5,0
M,WHITE,IL,Low,-1,LEGACY,PSYCH,1510,3.5,6.5,0
M,ASIAN,MI,Low,PUBLIC,NONE,POLISCI,1550,7.0,7.5,0
M,ASIAN,NE,Low,PUBLIC,LEGACY,CS,1530,6.5,2.5,0
M,ASIAN,NE,Low,PUBLIC,NONE,CS,1580,6.5,1.5,0
F,BLACK,TX,High,CHARTER,NONE,ENG,1280,5.5,1.0,0
F,ASIAN,CA,Low,-1,NONE,CS,1500,6.5,6.5,0
F,ASIAN,WA,-1,PUBLIC,NONE,BUSINESS,1420,7.5,6.5,0
M,ASIAN,-1,High,PUBLIC,NONE,PSYCH,1480,3.5,2.5,0
F,BLACK,OR,Low,PUBLIC,URM,HISTORY,1510,2.5,4.5,0
M,ASIAN,-1,Low,PUBLIC,LGBT,BIO,1480,3.5,3.5,0
F,BLACK,NE,Low,-1,URM,CS,1360,5.5,3.5,0
M,WHITE,OR,Middle,-1,NONE,ENG,1500,3.5,2.5,0
M,WHITE,OR,Middle,-1,NONE,ENG,1500,3.5,2.5,0
M,BLACK,OR,Middle,PUBLIC,URM,PREMED,1530,7.5,4.5,0
M,ASIAN,FL,Low,PUBLIC,NONE,CS,1460,7.5,3.5,0
M,ASIAN,-1,Low,PUBLIC,NONE,CS,1500,8.5,2.5,0
M,ASIAN,TX,Low,-1,NONE,CS,1550,6.5,9.5,0
M,ASIAN,NE,Middle,PUBLIC,NONE,BUSINESS,1280,1.0,3.5,0
M,ASIAN,-1,Low,-1,NONE,-1,1510,5.5,7.5,0
M,ASIAN,-1,High,PUBLIC,NONE,ENG,1550,7.5,3.7,0
M,WHITE,CA,Low,PRIVATE,NONE,ENG,1330,8.5,6.5,0
M,ASIAN,MA,Low,PUBLIC,NONE,BUSINESS,1540,6.5,7.2,0
M,ASIAN,MA,Low,PUBLIC,NONE,BUSINESS,1540,6.5,7.2,0
F,ASIAN,OR,High,PUBLIC,NONE,POLISCI,1510,4.0,4.7,0
F,ASIAN,-1,Low,PRIVATE,NONE,CS,1540,5.5,5.2,0
M,BLACK,CA,High,PUBLIC,URM,CS,1520,2.5,4.2,0
M,ASIAN,WA,Low,-1,NONE,-1,1410,6.5,2.5,0
F,ASIAN,-1,High,PUBLIC,NONE,CS,1550,7.5,4.2,0
M,WHITE,-1,Low,-1,LEGACY,CS,1500,4.5,3.7,0
F,WHITE,USA,Low,PUBLIC,LEGACY,MEDIA STUDIES,1410,5.0,6.2,0
M,BLACK,IN,Low,PRIVATE,NONE,CS,1280,6.5,6.8,0
F,BLACK,FL,Low,-1,FIRST-GEN,CS,1480,3.5,5.7,0
M,ASIAN,IN,Low,PRIVATE,NONE,CS,1540,2.5,2.5,2
F,ASIAN,WA,Low,PUBLIC,NONE,BIO,1500,7.5,6.5,2
M,BLACK,OR,Middle,PUBLIC,URM,PREMED,1530,7.5,4.5,2
F,ASIAN,-1,Low,PRIVATE,NONE,CS,1540,5.5,5.2,2
F,ASIAN,GA,Middle,PRIVATE,FIRST-GEN,BUSINESS,1480,2.5,4.2,2
M,HISPANIC,NC,Low,PRIVATE,URM,-1,1450,1.0,6.2,1
