Gender,Race,Residence,Income,School Type,Hooks,Major,SAT,EC-AWARDS,ESSAY-LOR-INTERVIEW,Decision
M,WHITE,CA,Low,PUBLIC,NONE,BIO,1540,7.5,7.3,0
F,ASIAN,CA,Low,-1,NONE,CS,1570,8.5,4.5,0
M,WHITE,CA,High,PUBLIC,NONE,-1,1470,6.5,7.5,0
F,WHITE,CA,High,-1,URM,BIO,1080,3.5,1.5,0
F,ASIAN,CA,High,PRIVATE,NONE,CHEMISTRY,1560,6.5,2.5,0
M,ASIAN,CA,Low,PUBLIC,FIRST-GEN,ENG,1460,6.5,4.2,0
F,ASIAN,CA,Low,-1,NONE,-1,1530,1.0,2.5,0
M,ASIAN,CA,Low,PUBLIC,URM,CS,1100,5.0,7.2,0
M,ASIAN,CA,High,PUBLIC,NONE,CS,1440,7.5,4.5,0
M,WHITE,CA,Low,PUBLIC,NONE,CS,1530,6.5,4.2,0
M,ASIAN,TX,Low,PUBLIC,NONE,-1,1550,7.5,4.5,0
M,ASIAN,CA,Low,-1,NONE,CS,1570,6.5,2.5,0
M,BLACK,TX,Low,PUBLIC,URM,POLISCI,1470,6.5,2.5,0
M,WHITE,MA,Low,-1,NONE,CS,1570,3.5,1.0,0
M,ASIAN,CA,Low,PUBLIC,NONE,POLISCI,1560,7.5,6.5,0
F,ASIAN,CA,Low,PUBLIC,FIRST-GEN,CS,1340,4.0,2.5,0
F,ASIAN,CA,Low,PUBLIC,NONE,BIO,1460,4.5,6.5,0
F,ASIAN,CA,High,PUBLIC,NONE,ENG,1450,6.5,3.5,0
M,ASIAN,CA,Low,PUBLIC,NONE,CS,1520,7.5,6.8,0
F,ASIAN,OR,Low,PRIVATE,FIRST-GEN,PSYCH,1030,1.0,2.5,0
M,ASIAN,CA,Middle,PUBLIC,NONE,HISTORY,1470,6.5,7.5,0
M,ASIAN,CA,Middle,PUBLIC,NONE,ENG,1520,5.0,6.8,0
F,ASIAN,CA,High,PUBLIC,NONE,CS,1300,3.5,7.2,0
M,ASIAN,CA,High,PUBLIC,NONE,CS,1530,4.5,6.2,0
M,-1,-1,Low,PUBLIC,NONE,CS,1420,5.5,2.5,0
M,ASIAN,IL,High,PUBLIC,FIRST-GEN,CS,1590,8.5,4.5,0
F,WHITE,GA,High,PUBLIC,LEGACY,-1,1300,6.5,2.5,0
M,ASIAN,CA,Low,PUBLIC,NONE,ENG,1460,1.0,4.2,0
F,ASIAN,CA,Low,PUBLIC,LEGACY,POLISCI,1540,6.5,6.5,0
F,WHITE,CA,Low,PUBLIC,NONE,CS,1540,6.5,6.2,0
M,ASIAN,CA,High,PUBLIC,NONE,CS,1500,6.5,7.8,0
T,ASIAN,NE,Low,PUBLIC,NONE,CS,1480,6.5,7.5,0
F,WHITE,MI,High,PUBLIC,LGBT,-1,1470,4.5,4.2,0
NB,WHITE,DC,-1,PUBLIC,LEGACY,CS,1470,6.5,4.5,0
M,ASIAN,CA,Low,PRIVATE,NONE,BUSINESS,1530,3.5,4.8,0
