Gender,Race,Residence,Income,School Type,Hooks,Major,SAT,EC-AWARDS,ESSAY-LOR-INTERVIEW,Decision
F,-1,CA,Low,PUBLIC,URM,ENG,1280,2.0,4.5,0
F,ASIAN,WA,Low,PRIVATE,LEGACY,POLISCI,1570,7.5,4.2,0
F,ASIAN,NY,Low,PUBLIC,NONE,CS,1600,6.5,7.5,0
M,BLACK,OR,Low,PUBLIC,URM,-1,1450,6.5,4.2,0
M,ASIAN,CO,High,PUBLIC,FIRST-GEN,-1,1430,5.5,2.5,0
F,HISPANIC,TX,Low,CHARTER,URM,MATH,1400,5.0,1.5,0
M,ASIAN,TX,High,PUBLIC,FIRST-GEN,ENG,1530,7.5,2.5,0
F,WHITE,NC,High,PRIVATE,NONE,HISTORY,1540,6.5,6.2,0
M,ASIAN,CA,Low,-1,NONE,CS,1550,8.5,1.0,0
F,ASIAN,OR,Middle,PUBLIC,NONE,CS,1530,5.5,8.2,0
M,ASIAN,MI,Low,PUBLIC,FIRST-GEN,CS,1550,7.5,7.2,0
M,WHITE,INTERNATIONAL,Low,PRIVATE,NONE,CS,1550,5.5,6.5,0
M,ASIAN,TX,High,-1,NONE,HISTORY,1490,6.5,3.5,0
F,HISPANIC,CA,Low,PUBLIC,URM,ENG,1530,3.0,7.2,0
M,BLACK,-1,Middle,-1,URM,CS,1510,7.5,2.5,0
T,ASIAN,GA,High,PUBLIC,URM,PREMED,1580,7.5,8.5,0
F,BLACK,GA,Middle,PUBLIC,URM,CS,1500,7.5,4.5,0
F,WHITE,NY,Low,PRIVATE,NONE,-1,1320,6.5,9.5,0
F,-1,-1,Low,-1,URM,CS,1500,6.5,1.0,0
OTHER,-1,CA,Low,PRIVATE,NONE,CS,1520,6.5,2.5,0
F,HISPANIC,CA,Low,PUBLIC,URM,ENG,1530,3.0,6.5,0
M,WHITE,-1,High,PUBLIC,LEGACY,CS,1560,7.5,6.8,0
M,WHITE,MI,-1,PRIVATE,URM,CS,1510,6.5,8.2,0
F,ASIAN,CA,Low,-1,NONE,BUSINESS,1400,7.5,4.8,0
M,ASIAN,CA,High,PUBLIC,NONE,NEUROSCIENCE,1540,8.5,4.2,0
M,HISPANIC,IL,Low,-1,FIRST-GEN,CS,1220,2.5,2.5,0
M,ASIAN,TX,Middle,-1,NONE,-1,1560,7.5,8.2,0
F,ASIAN,OR,Low,PUBLIC,NONE,-1,1510,6.5,7.3,0
M,ASIAN,GA,Low,PRIVATE,NONE,ENG,1550,7.5,8.2,0
M,BLACK,IL,Low,PUBLIC,URM,CS,1430,6.5,9.5,0
M,WHITE,IN,Low,PRIVATE,NONE,CS,1580,8.5,8.7,0
M,WHITE,UT,High,PUBLIC,NONE,POLISCI,1600,7.5,6.2,0
F,ASIAN,MI,Low,PUBLIC,URM,BUSINESS,1370,7.5,6.5,0
